"reachNumber","reachID","length","width","depth","localArea","localPET","localCin","d","connect","order"
8,11749323,1535,6.86983652917294,0.262773485098887,12676500,0.005,10,0.1,"0",1
30,11749165,2951,5.55399700686423,0.226434713987634,6718500,0.005,10,0.1,"0",1
46,11749663,2822,6.10988605357703,0.242070705899098,8162100,0.005,10,0.1,"0",1
56,11749057,1894,7.41774117152247,0.277274053661149,12912300,0.005,10,0.1,"0",1
65,11748989,1138,6.03943748805006,0.240113513267844,7495200,0.005,10,0.1,"0",1
74,11748911,1498,6.3729988849595,0.249321510122954,8195400,0.005,10,0.1,"0",1
87,11748779,798,7.23930030125274,0.272587962644001,10700100,0.005,10,0.1,"0",1
94,11749607,1494,6.05899958841143,0.240657668579931,6286500,0.005,10,0.1,"0",1
99,11749101,3717,7.09134964418374,0.268676256351973,11743200,0.005,10,0.1,"0",1
111,11747921,491,8.14554412220383,0.296048680194384,7440300,0.005,10,0.1,"0",1
131,11748393,1824,12.3481247845009,0.396131853213199,19854900,0.005,10,0.1,"0",1
147,11750427,397,3.54004376195685,0.165205727795861,1479600,0.005,10,0.1,"0",1
160,11750353,2131,7.04295413412953,0.267391415982258,5130000,0.005,10,0.1,"0",1
167,11750531,2034,7.10703253429568,0.269092052606561,8062200,0.005,10,0.1,"0",1
175,11750575,1695,6.55311995179887,0.254233479456295,7797600,0.005,10,0.1,"0",1
194,11747925,1986,8.06427762019814,0.293978038750721,8689500,0.005,10,0.1,"0",1
198,11747863,1270,7.13790988083722,0.269909891938284,5390100,0.005,10,0.1,"0",1
201,11750561,2878,6.74389079925561,0.259391911476284,7842600,0.005,10,0.1,"0",1
205,11750397,940,6.98554949971344,0.265863955014836,7094700,0.005,10,0.1,"0",1
207,11749613,1182,5.35130309794421,0.220617898838531,4766400,0.005,10,0.1,"0",1
208,11748903,5597,8.72422746997946,0.31061894862171,13371300,0.005,10,0.1,"0",1
211,11749683,1262,5.49337734647759,0.224701856986304,6606000,0.005,10,0.1,"0",1
215,11749075,2508,5.36056027458144,0.220884981172015,6272100,0.005,10,0.1,"0",1
223,11750645,695,6.28189497593767,0.246821239486925,7103700,0.005,10,0.1,"0",1
225,11748997,403,7.30302673900575,0.274265437851352,12052800,0.005,10,0.1,"0",1
226,11747991,2565,8.30704823790476,0.300145455178079,8769600,0.005,10,0.1,"0",1
237,11750677,411,4.67482637220958,0.200703478125046,3789000,0.005,10,0.1,"0",1
240,11749099,865,6.03725851538126,0.240052868485574,7820100,0.005,10,0.1,"0",1
241,11748851,409,7.80822006394645,0.287412392805444,9493200,0.005,10,0.1,"0",1
249,11748953,2652,5.89682847750604,0.236130456025536,5381100,0.005,10,0.1,"0",1
253,11748849,2634,8.16626105739639,0.296575547249348,14599800,0.005,10,0.1,"0",1
255,11749403,1507,3.90064002031861,0.176812990492843,2968200,0.005,10,0.1,"0",1
265,11750819,965,4.7192147589061,0.20203558893189,4787100,0.005,10,0.1,"0",1
266,11749447,142,5.21983970606822,0.216809883271505,6268500,0.005,10,0.1,"0",1
268,11749381,1969,7.01291533695139,0.266592591345641,12060000,0.005,10,0.1,"0",1
269,11750759,899,4.73266342376329,0.202438444982805,4540500,0.005,10,0.1,"0",1
273,11750657,1772,7.14758604441486,0.270165963125942,10189800,0.005,10,0.1,"0",1
280,11750721,677,5.57497502025052,0.227033062259366,5719500,0.005,10,0.1,"0",1
285,11750799,2336,4.73693149334143,0.202566223596975,4541400,0.005,10,0.1,"0",1
